"new.id"	"Area.M2"	"p1"	"p2"	"p3"	"p4"	"x"	"y"	"Final.ID"
1	5594.3779	"plough"	"plough"	"grain"	"grain"	616122.9823	7090316.405	"6"
2	12185.17125	"stubble"	"grass"	"grain"	"grain"	618605.3545	7087392.617	"61"
3	51569.3388	"stubble"	"plough"	"grain"	"grain"	618610.28	7087810.394	"63"
4	24017.733	"grass"	"grass"	"grass"	"grass"	620977.6425	7086720.158	"66"
5	2370.85625	"grass"	"grass"	"grass"	"grass"	619922.6	7086659.945	"71"
6	7153.76575	"grass"	"grass"	"grass"	"grass"	619695.6006	7086554.019	"72"
7	3082.13815	"grass"	"grass"	"grass"	"grass"	620593.1156	7086854.037	"73"
8	19805.41635	"grass"	"grass"	"grass"	"grass"	620305.015	7086955.495	"74"
9	39.3728	"grass"	"grass"	"grass"	"grass"	619630.9499	7085573.157	"78"
10	94431.92125	"plough"	"plough"	"plough"	"grain"	618570.98	7091284.641	"84"
11	70397.40645	"plough"	"plough"	"plough"	"grass"	620490.422	7093137.259	"88"
12	4787.04785	"grass"	"grass"	"grain"	"grain"	620113.9125	7091790.473	"89"
13	1971.82615	"stubble"	"plough"	"plough"	"grain"	616498.7525	7088547.358	"96"
14	3116.21755	"grass"	"grass"	"grass"	"grass"	619697.5172	7088418.817	"102"
15	3860.15265	"grass"	"grass"	"grass"	"grass"	619573.0225	7089507.604	"103"
16	10462.55325	"stubble"	"stubble"	"plough"	"plough"	619866.0325	7088353.59	"106"
17	3697.5642	"grass"	"grass"	"grass"	"grass"	618938.5255	7097120.904	"113"
18	20776.3116	"stubble"	"stubble"	"stubble"	"stubble"	617496.6072	7096364.476	"114"
19	9625.8282	"grass"	"grass"	"grass"	"grass"	619594.0671	7096792.286	"116"
20	45230.14685	"stubble"	"stubble"	"grain"	"grain"	617660.9025	7094740.55	"123"
21	2798.6664	"stubble"	"stubble"	"grain"	"grain"	616427.9869	7095310.417	"124"
22	9825.82795	"plough"	"grain"	"grain"	"grain"	616553.805	7102672.571	"173"
23	84168.0532	"grass"	"grass"	"grass"	"grass"	619311.7897	7103326.542	"186"
24	26845.8502	"stubble"	"plough"	"grain"	"grain"	622486.4725	7097381.349	"244"
25	15121.2958	"grass"	"grass"	"grass"	"grass"	622612.7975	7102526.84	"261"
26	109030.7262	"grass"	"grass"	"grass"	"grass"	626117.5575	7101801.191	"265"
27	10238.25465	"grass"	"grass"	"grass"	"grass"	622915.12	7099861.043	"269"
28	9793.6212	"grass"	"grass"	"grass"	"grass"	616262.4475	7087147.776	"589"
29	21737.6921	"grass"	"grass"	"grass"	"grass"	615539.3425	7087612.178	"597"
30	3247.45135	"grass"	"grass"	"grass"	"grass"	615912.4344	7087210.614	"598"
31	8398.57555	"grass"	"grass"	"grass"	"grass"	616199.8597	7087913.106	"604"
32	12479.181	"grass"	"grass"	"plough"	"grain"	615792.8	7087369.165	"614"
33	1323.84135	"grass"	"grass"	"plough"	"plough"	615986.5385	7087192.513	"615"
34	77308.32295	"grass"	"grass"	"grass"	"grass"	616134.2605	7087988.954	"619"
35	8128.2731	"grass"	"grass"	"grass"	"grass"	615713.6813	7088157.219	"622"
36	17532.5514	"grass"	"grass"	"grass"	"grass"	615867.13	7087404.825	"623"
37	3522.52975	"grass"	"grass"	"grass"	"grass"	615671.2875	7088200.065	"628"
38	45749.00285	"grass"	"grass"	"grass"	"grass"	615623.2925	7087962.571	"643"
39	20499.29925	"stubble"	"plough"	"grain"	"grain"	615957.825	7087828.491	"647"
40	8773.6517	"grass"	"grass"	"grass"	"grass"	615739.1533	7087660.177	"656"
41	1297.75245	"grass"	"grass"	"grass"	"grass"	615715.985	7088081.775	"660"
42	4078.48685	"grass"	"grass"	"grass"	"grass"	615455.18	7087754.832	"667"
43	10501.63155	"stubble"	"stubble"	"grain"	"grain"	616229.0475	7090555.386	"691"
44	35168.5717	"grass"	"grass"	"plough"	"grain"	615981.34	7088400.889	"696"
45	7552.2468	"grass"	"grass"	"grass"	"grass"	615928.6989	7089275.576	"697"
46	29151.648	"stubble"	"plough"	"grain"	"grain"	616277.95	7090442.899	"702"
47	4760.63585	"grass"	"grass"	"grass"	"grass"	616048.54	7088877.794	"706"
48	4611.115	"grass"	"grass"	"grass"	"grass"	616066.5705	7088739.851	"714"
49	3487.03945	"grass"	"grass"	"grass"	"grass"	615949.4001	7088749.217	"715"
50	77908.54365	"grass"	"grass"	"grass"	"grass"	616004.255	7089125.049	"726"
51	7754.70255	"grass"	"grass"	"grass"	"grass"	616145.7476	7089026.086	"734"
52	98020.1674	"grass"	"grass"	"grass"	"grass"	616708.57	7089131.158	"741"
53	29331.1312	"grass"	"grass"	"grass"	"grass"	616101.265	7088805.798	"742"
54	8301.1092	"grass"	"grass"	"grass"	"grass"	616231.91	7088714.458	"745"
55	3639.0417	"plough"	"plough"	"grass"	"grass"	616087.9475	7088848.369	"746"
56	17845.954	"stubble"	"plough"	"grain"	"grain"	616038.13	7089353.35	"747"
57	7964.88465	"grass"	"grass"	"grass"	"grass"	616140.7011	7088687.148	"754"
58	18014.62095	"grass"	"grass"	"grass"	"grass"	616013.505	7088964.018	"755"
59	5240.1309	"grass"	"grass"	"grass"	"grass"	614991.465	7102066.481	"836"
60	21723.43135	"grass"	"grass"	"grass"	"grass"	615110.7	7102201.916	"863"
61	2504.4155	"grass"	"grass"	"grass"	"grass"	615072.5577	7102046.456	"866"
62	7688.72015	"grass"	"grass"	"grass"	"grass"	615061.725	7101286.941	"868"
63	35501.7233	"stubble"	"grain"	"grain"	"grain"	615905.0505	7102704.88	"2439"
64	1029.488	"plough"	"grain"	"grain"	"grain"	615614.579	7102706.154	"2709"
65	975.20365	"plough"	"plough"	"plough"	"grain"	619501.7346	7087497.403	"4106"
66	17068.4147	"grass"	"grass"	"grass"	"grass"	617088.11	7086967.662	"4115"
67	19791.5282	"grass"	"grass"	"grain"	"grain"	618482.14	7087364.273	"4121"
68	208952.0468	"grass"	"grass"	"grass"	"grass"	617884.905	7087288.815	"4123"
69	61879.3258	"stubble"	"plough"	"grain"	"grain"	619324.7775	7087710.791	"4125"
70	34009.6401	"plough"	"plough"	"grain"	"plough"	619448.1	7087637.552	"4126"
71	9459.58685	"stubble"	"plough"	"plough"	"grain"	619410.9894	7087515.969	"4127"
72	17171.1527	"grass"	"grass"	"grain"	"grain"	618340.045	7087396.657	"4135"
73	10970.82875	"stubble"	"stubble"	"plough"	"grain"	619034.575	7087901.508	"4136"
74	9955.5446	"plough"	"plough"	"plough"	"grain"	619338.5175	7087995.38	"4145"
75	1417.0468	"grass"	"grass"	"plough"	"plough"	616898.6238	7086940.25	"4160"
76	1125.51915	"grass"	"grass"	"plough"	"plough"	616939.0446	7086977.926	"4161"
77	2706.90425	"grass"	"grass"	"grass"	"grass"	617531.595	7087778.332	"4166"
78	2764.02565	"grass"	"grass"	"grass"	"grass"	617501.5938	7087451.966	"4167"
79	43087.52105	"grass"	"grass"	"grass"	"grass"	618019.865	7087726.992	"4169"
80	749.2682	"grass"	"grass"	"grass"	"grass"	618029.7071	7087858.055	"4170"
81	6377.4112	"grass"	"grass"	"grass"	"grass"	618178.5517	7087872.702	"4171"
82	6634.2672	"grass"	"grass"	"grain"	"grain"	618292.09	7087837.382	"4172"
83	23993.96355	"stubble"	"plough"	"grain"	"grain"	618481.33	7087964.199	"4176"
84	16508.5856	"grass"	"grass"	"grain"	"grain"	618855.0788	7087854.89	"4177"
85	32420.9298	"stubble"	"stubble"	"grain"	"grain"	619609.2675	7087936.243	"4183"
86	886.73075	"stubble"	"stubble"	"stubble"	"stubble"	619426.7644	7087360.27	"4187"
87	17449.55665	"stubble"	"stubble"	"plough"	"plough"	619621.467	7087070.407	"4188"
88	39819.25025	"grass"	"plough"	"grain"	"grain"	619570.18	7086295.727	"4194"
89	5719.80505	"grass"	"grass"	"grass"	"grass"	619480.92	7086420.084	"4203"
90	153735.8734	"grass"	"plough"	"grain"	"grain"	619701.745	7085604.228	"4207"
91	67952.64225	"plough"	"plough"	"grain"	"grain"	619685.0312	7086153.813	"4209"
92	4632.1584	"grass"	"grass"	"grass"	"grass"	616609.87	7087309.396	"4213"
93	13472.0514	"grass"	"grass"	"grass"	"grass"	617210.1025	7087044.59	"4218"
94	979.6835	"grass"	"grass"	"grass"	"grass"	617133.9095	7087027.959	"4219"
95	25804.90215	"plough"	"plough"	"grain"	"grain"	616495.665	7086923.274	"4227"
96	7523.27915	"grass"	"grass"	"grass"	"grass"	616519.2783	7087196.006	"4228"
97	3433.6586	"grass"	"grass"	"grass"	"grass"	617174.875	7087141.178	"4229"
98	2359.7602	"grass"	"grass"	"grass"	"grass"	616556.7635	7087260.528	"4232"
99	45176.758	"grass"	"plough"	"plough"	"grain"	617009.9524	7086836.7	"4236"
100	1950.77555	"plough"	"plough"	"grain"	"grain"	619147.3241	7087930.243	"4244"
101	2732.5801	"stubble"	"plough"	"grain"	"grain"	619082.6943	7087827.25	"4249"
102	2104.62915	"plough"	"plough"	"plough"	"grain"	619137.0295	7088010.562	"4251"
103	7043.0902	"grass"	"grass"	"grain"	"grain"	618813.5018	7087757.047	"4252"
104	25007.70115	"grass"	"grass"	"grain"	"grain"	618287.065	7087757.357	"4265"
105	1448.6075	"grass"	"grass"	"grass"	"grass"	617570.9797	7087567.269	"4267"
106	1391.52145	"grass"	"grass"	"grass"	"grass"	618281.0425	7087585.873	"4268"
107	3249.55845	"grass"	"grass"	"grain"	"grain"	618987.1652	7087753.528	"4275"
108	4053.1632	"grass"	"grass"	"grass"	"grass"	617963.32	7087809.049	"4280"
