"new.id"	"Area.M2"	"p1"	"p2"	"p3"	"p4"	"x"	"y"	"Final.ID"	"initial1"	"initial2"	"initial3"	"initial4"
1	5594.3779	"plough"	"plough"	"grain"	"grain"	616122.9823	7090316.405	"6"	0	0	209630.343152941	0
2	12185.17125	"stubble"	"grass"	"grain"	"grain"	618605.3545	7087392.617	"61"	561671.783242558	1025174.31585602	961830.352765445	0
3	51569.3388	"stubble"	"plough"	"grain"	"grain"	618610.28	7087810.394	"63"	284727.503792534	0	2285854.0976364	0
4	24017.733	"grass"	"grass"	"grass"	"grass"	620977.6425	7086720.158	"66"	1766475.79554347	0	0	0
5	2370.85625	"grass"	"grass"	"grass"	"grass"	619922.6	7086659.945	"71"	185688.336945373	0	0	0
6	7153.76575	"grass"	"grass"	"grass"	"grass"	619695.6006	7086554.019	"72"	605319.91604372	0	0	0
7	3082.13815	"grass"	"grass"	"grass"	"grass"	620593.1156	7086854.037	"73"	258510.129296445	0	0	0
8	19805.41635	"grass"	"grass"	"grass"	"grass"	620305.015	7086955.495	"74"	1724646.91356195	0	0	0
9	39.3728	"grass"	"grass"	"grass"	"grass"	619630.9499	7085573.157	"78"	3374.01624218589	0	0	0
10	94431.92125	"plough"	"plough"	"plough"	"grain"	618570.98	7091284.641	"84"	0	0	0	5866569.64697486
11	70397.40645	"plough"	"plough"	"plough"	"grass"	620490.422	7093137.259	"88"	0	0	0	5715657.98869937
12	4787.04785	"grass"	"grass"	"grain"	"grain"	620113.9125	7091790.473	"89"	355439.400696243	0	410243.893752753	0
13	1971.82615	"stubble"	"plough"	"plough"	"grain"	616498.7525	7088547.358	"96"	64770.3949477632	0	0	111962.010851661
14	3116.21755	"grass"	"grass"	"grass"	"grass"	619697.5172	7088418.817	"102"	251971.550261871	0	0	0
15	3860.15265	"grass"	"grass"	"grass"	"grass"	619573.0225	7089507.604	"103"	352035.63528483	0	0	0
16	10462.55325	"stubble"	"stubble"	"plough"	"plough"	619866.0325	7088353.59	"106"	428550.672348246	0	0	0
17	3697.5642	"grass"	"grass"	"grass"	"grass"	618938.5255	7097120.904	"113"	274650.641596802	0	0	0
18	20776.3116	"stubble"	"stubble"	"stubble"	"stubble"	617496.6072	7096364.476	"114"	978313.820322768	0	0	0
19	9625.8282	"grass"	"grass"	"grass"	"grass"	619594.0671	7096792.286	"116"	723846.757402139	0	0	0
20	45230.14685	"stubble"	"stubble"	"grain"	"grain"	617660.9025	7094740.55	"123"	1852025.24531081	0	3996700.67981205	0
21	2798.6664	"stubble"	"stubble"	"grain"	"grain"	616427.9869	7095310.417	"124"	97949.509605013	0	180911.262170625	0
22	9825.82795	"plough"	"grain"	"grain"	"grain"	616553.805	7102672.571	"173"	0	807451.923814792	0	0
23	84168.0532	"grass"	"grass"	"grass"	"grass"	619311.7897	7103326.542	"186"	7343435.181475	0	0	0
24	26845.8502	"stubble"	"plough"	"grain"	"grain"	622486.4725	7097381.349	"244"	1102024.92870698	0	859920.033787538	0
25	15121.2958	"grass"	"grass"	"grass"	"grass"	622612.7975	7102526.84	"261"	1306206.87505197	0	0	0
26	109030.7262	"grass"	"grass"	"grass"	"grass"	626117.5575	7101801.191	"265"	9524279.68830655	0	0	0
27	10238.25465	"grass"	"grass"	"grass"	"grass"	622915.12	7099861.043	"269"	816447.202372817	0	0	0
