id	utmx	utmy	capacity
1	610271.53633	7084267.71594	2400
2	613735.98505	7082835.80074	1400
3	617863.50463	7082181.76125	4200
4	621646.00688	7077065.56803	14500
7	614778.50720	7072161.75841	2500
9	629596.31743	7080999.93252	6500
10	616626.61453	7086170.04447	3400
11	616315.63752	7089836.91281	3000
12	616332.19754	7091004.21410	4000
13	616733.73918	7093239.48602	2700
14	616270.11481	7093458.85265	800
15	614858.58036	7092154.96913	1450
16	616237.67166	7095719.98650	460
17	618015.65247	7096247.02298	4500
18	619092.66586	7101949.17267	5130
26	619918.79769	7078289.04693	1400
27	620900.56800	7077226.18795	6100
28	615343.29222	7073173.04365	4000
29	619594.96821	7074061.32808	6800
30	622325.08378	7075230.86262	2400
31	626357.78728	7090409.95008	4000
32	614013.46491	7087013.01856	510
33	616463.50076	7092239.14129	1800
34	608100.75419	7104275.24859	1804
36	625314.26112	7103377.85886	0
42	611605.91536	7084328.36913	1200
43	608722.09364	7082766.06929	630
45	619039.00693	7079641.51650	5000
